dzielnica,typ_szkoly,nazwa_szkoly,nazwa_oddzialu,rozszerzenia,jezyki,prog_min,ranking25,srednia22do24
Mokotów,LO,"CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania
Warszawskiego",1D [D] geogr-ang-mat (niem*-ang),ang-geogr-mat,ang-niem,166.00,26,31.67
Mokotów,LO,"CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania
Warszawskiego",1B [D] biz-mat-wos (ang-hisz*),biz-mat-wos,ang-hisz,191.01,26,31.67
Mokotów,LO,"CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania
Warszawskiego",1A [D] hist-pol-wos (ang-niem*),hist-pol-wos,ang-niem,181.72,26,31.67
Mokotów,LO,"CLV LO z Oddziałami Dwujęzycznymi im. Bohaterek Powstania
Warszawskiego",1H [D] geogr-hiszp-mat (ang-hisz*),geogr-hiszp-mat,ang-hisz,190.24,26,31.67
Mokotów,LO,CLVI LO Integracyjne „Przy Łazienkach Królewskich”,"1A [I-o] hist-pol (ang-hisz*,niem*)",hist-pol,ang-hisz-niem,123.60,,
Mokotów,LO,CLVI LO Integracyjne „Przy Łazienkach Królewskich”,"1C [I-o] biol-chem (ang-hisz*,niem*)",biol-chem,ang-hisz-niem,101.60,,
Mokotów,LO,CLVI LO Integracyjne „Przy Łazienkach Królewskich”,"1D [I-o] inf-mat (ang-hisz*,niem*)",inf-mat,ang-hisz-niem,136.60,,
Mokotów,LO,CLVI LO Integracyjne „Przy Łazienkach Królewskich”,"1B [I-o] geogr-ang (ang-hisz*,niem*)",ang-geogr,ang-hisz-niem,123.30,,
Mokotów,LO,CLXIV LO Mistrzostwa Sportowego,1a [MS] geogr-ang (ang-niem),ang-geogr,ang-niem,73.00,,
Mokotów,LO,CLXIV LO Mistrzostwa Sportowego,1bp [MS] biol-ang (ang-niem),ang-biol,ang-niem,330.00,,
Mokotów,LO,CLXIV LO Mistrzostwa Sportowego,1c [MS] biol-ang (ang-niem),ang-biol,ang-niem,50.00,,
Mokotów,LO,CLXIV LO Mistrzostwa Sportowego,1bch [MS] biol-ang (ang-niem),ang-biol,ang-niem,17.00,,
Mokotów,LO,CX LO im. R. Schumana,1A1 [O] geogr-ang-hiszp (ang-hisz),ang-geogr-hiszp,ang-hisz,126.85,,
